What is the fundamental building block of all living organisms?,The cell.
What determines the chemical properties and bonding behavior of an atom?,The number and arrangement of its electrons.
A cluster of two or more atoms held together by covalent bonds is known as a(n) _____.,Molecule.
What occurs during a 'condensation reaction' in the synthesis of macromolecules?,A subunit is added to a chain and a molecule of water is released.
Which organelle is responsible for generating the majority of ATP in aerobic eukaryotic cells?,The mitochondrion.
Term for the threadlike structures of DNA and protein that carry genetic information and become visible during division.,Chromosomes.
How many types of amino acids are used to build proteins in living cells?,$20$.
What determines the unique shape and function of a protein or RNA molecule?,The specific sequence of its subunits.
Where do proteins and polynucleotides derive the energy needed for their biosynthesis?,From metabolic reactions (often involving ATP).
Name the specific DNA sequence that allows duplicated chromosomes to be separated during M phase.,The centromere.
The network of regulatory proteins that ensures cell cycle events occur in the correct sequence is called the _____.,Cell-cycle control system.
Which structure in animal cells sits near the nucleus and acts as the major microtubule-organising centre?,The centrosome.
Compare the location of DNA in bacteria versus plant cells.,"In bacteria, DNA is in the cytoplasm; in plants, it is in the nucleus."
What is the role of ribosomes in the cell?,They are the molecular machines that translate RNA into proteins.
