What is the approximate thickness of a typical plasma membrane lipid bilayer?,The lipid bilayer is approximately $5\text{ nm}$ thick.
How do membrane proteins that form a hydrophilic pore across the membrane differ from those that act as simple anchors?,"Pore-forming proteins are usually transmembrane and amphipathic, whereas anchors may only attach to one side of the bilayer."
Term: Glycoprotein,"Definition: A membrane protein with short, branched chains of sugars (oligosaccharides) covalently attached to it."
Which specific lipid-linked protein is found predominantly in the apical plasma membrane of polarised epithelial cells?,GPI-anchored proteins.
What prevents membrane proteins in the apical domain from moving into the lateral domain of an epithelial cell?,The tight junction.
"The cytosolic monolayer of the plasma membrane contains _____, which are minor constituents involved in cell signalling.",Phosphatidylinositols
Which type of membrane transport protein undergoes conformational changes to move a solute across the membrane?,Transporters.
Which type of membrane protein forms a pore that allows solutes to diffuse passively down their concentration gradient?,Channel proteins.
"In a bacterial cell, what structure is usually found outside the plasma membrane to provide mechanical rigidity?",The cell wall.
What allows $E. coli$ to adhere specifically to the epithelial lining of the bladder?,Adhesins (proteins or protein complexes) located on the tips of pili.
Which bacterium uses the enzyme urease to neutralise stomach acid and colonise the gastric epithelium?,Helicobacter pylori.
What is the typical diameter range for animal and plant cells?,Typically $5-20\text{ }\mu\text{m}$ in diameter.
How does Listeria monocytogenes move within the host cell cytosol?,It induces the assembly of 'actin tails' that push the bacterium through the cytoplasm.
Which enzyme specifically cleaves several activated members of the MAP kinase family and is a lethal toxin target?,Lethal factor (from Bacillus anthracis).
Which method allows researchers to track the diffusion path of a single membrane protein molecule over time?,Single-particle tracking.
Membrane proteins that are tethered to the _____ inside the cell have restricted lateral mobility.,Cell cortex
