What are the three chemical components of a ribonucleotide?,"A ribose sugar, a phosphate group, and a nitrogenous base."
Concept: Transcriptional Repressor,Definition: A protein that binds to a specific regulatory DNA sequence to prevent the assembly of the transcription initiation complex.
How do eukaryotic transcription regulators physically interact with a promoter located far away on the DNA strand?,"The intervening DNA loops out, bringing the regulator and the promoter into close proximity."
Which enzyme converts a double-stranded DNA sequence into a complementary RNA sequence?,RNA polymerase.
Why is the error rate of RNA polymerase higher than that of DNA polymerase?,RNA polymerase does not possess the same highly accurate proofreading mechanisms as DNA polymerase.
What determines which of the two DNA strands is used as a template for transcription?,The orientation and position of the promoter sequence.
What is the role of small nucleolar RNAs ($snoRNAs$)?,They help to process and chemically modify ribosomal RNAs ($rRNAs$).
What are 'piwi-interacting RNAs' ($piRNAs$)?,RNAs that protect the animal germ line from the activity of transposable elements.
What defines 'gene expression' in molecular biology?,"The entire process by which a gene's information is converted into a functional product, such as a protein or RNA."
Which nitrogenous bases in RNA follow the rule of complementary base-pairing with DNA?,"$G$ pairs with $C$, and $A$ pairs with $U$ (in RNA) or $T$ (in DNA)."
What is the importance of the 'reading frame' in translation?,"It determines how the sequence of nucleotides in $mRNA$ is divided into consecutive, non-overlapping triplets (codons)."
Explain the significance of the $5^{\prime}$ cap for eukaryotic $mRNA$.,"It aids in export from the nucleus, protects the $mRNA$ from degradation, and helps the ribosome identify the start of the message."
How does the 'poly-A tail' contribute to $mRNA$ stability?,It protects the $3^{\prime}$ end of the $mRNA$ from premature enzymatic degradation.
What is a 'codon'?,A set of three consecutive nucleotides in $mRNA$ that specifies a single amino acid.
The set of rules by which the nucleotide sequence of a gene is translated into the amino acid sequence of a protein is the _____.,Genetic code
Which enzyme group is responsible for covalently linking amino acids to their appropriate $tRNA$ molecules?,Aminoacyl-tRNA synthetases.
Define the 'anticodon' of a $tRNA$ molecule.,A three-nucleotide sequence that recognises and base-pairs with a complementary codon in $mRNA$.
What is the start codon for protein synthesis in most organisms?,$AUG$ (coding for methionine).
Name the three stop codons used to terminate translation.,"$UAA$, $UAG$, and $UGA$."
Where does translation of $mRNA$ into protein occur within a cell?,The cytoplasm (specifically on ribosomes).
"In the 'RNA world' hypothesis, what were the dual roles of RNA before DNA and proteins evolved?",Storing genetic information and catalysing chemical reactions.
What are 'nuclear pore complexes'?,Channels that regulate the export of mature $mRNAs$ from the nucleus to the cytosol.
Explain the concept of 'operons' as found in bacterial genomes.,Clusters of adjacent genes that are transcribed as a single $mRNA$ molecule from a single promoter.
"How do eukaryotic cells prevent immature, incorrectly spliced $mRNAs$ from being translated?",Only fully processed $mRNAs$ associated with specific proteins are allowed to exit the nucleus through nuclear pores.
Which protein complex is responsible for degrading $mRNAs$ that are no longer needed by the cell?,The exosome.
Describe the 'wobble' base-pairing in $tRNA$.,The ability of the third position in some $tRNA$ anticodons to pair with more than one kind of nucleotide in $mRNA$.
What is the function of 'translation initiation factors'?,Proteins that help assemble the ribosome at the start codon to begin translation.
Which ribosomal subunit contains the catalytic site for peptide bond formation?,The large ribosomal subunit.
What term describes a single $mRNA$ molecule being translated by multiple ribosomes simultaneously?,Polyribosome (or polysome).
Which post-translational mechanism degrades damaged or misfolded proteins in the cytosol?,The ubiquitin-proteasome pathway.
What is the primary significance of the 'RNA-Seq' technique?,It allows for the direct determination of the nucleotide sequence and quantity of a collection of RNAs.
Define 'epigenetic inheritance'.,The transmission of a heritable state of gene expression that does not involve changes to the DNA sequence itself.
How does 'DNA methylation' influence transcription?,It typically acts to repress gene expression by attracting proteins that block transcription initiation.
What is the role of 'housekeeping genes'?,Genes that code for proteins necessary for basic cell functions and are expressed in almost all cell types.
How can a single 'master transcription regulator' trigger the development of an entire organ?,It initiates a cascade of gene expression changes by activating other transcription regulators.
What is the function of the 'TBP' (TATA-binding protein)?,"A subunit of TFIID that binds directly to the TATA box, bending the DNA to facilitate the assembly of other factors."
